policy,task_class,avg_quality,avg_cost,avg_reward
Always-W1,code,0.5958,418.87,0.3864
Always-W1,qa,0.6046,450.85,0.3792
Always-W1,reasoning,0.6003,460.2,0.3702
Always-W3,code,0.9004,466.2,0.6673
Always-W3,qa,0.8973,424.01,0.6852
Always-W3,reasoning,0.8946,457.27,0.6659
Random,code,0.7472,442.74,0.5258
Random,qa,0.744,456.51,0.5158
Random,reasoning,0.7491,454.72,0.5217
Oracle,code,0.8741,379.62,0.6843
Oracle,qa,0.882,359.78,0.7021
Oracle,reasoning,0.8651,362.44,0.6839
LinUCB-Full,code,0.8143,480.7,0.574
LinUCB-Full,qa,0.8358,441.26,0.6152
LinUCB-Full,reasoning,0.8307,425.84,0.6177
LinUCB-NoEncoder,code,0.8409,460.47,0.6106
LinUCB-NoEncoder,qa,0.8343,445.56,0.6115
LinUCB-NoEncoder,reasoning,0.8291,453.56,0.6023
