policy,seed,episode,cumulative_regret
linucb,42,1,0.4821
linucb,42,2,0.4994
linucb,42,3,0.9489
linucb,42,4,0.9737
linucb,42,5,1.2663
linucb,42,6,1.2663
linucb,42,7,1.3936
linucb,42,8,1.3936
linucb,42,9,1.3936
linucb,42,10,1.3936
linucb,42,11,1.3936
linucb,42,12,1.7392
linucb,42,13,1.7392
linucb,42,14,1.7392
linucb,42,15,2.2677
linucb,42,16,3.5401
linucb,42,17,3.5401
linucb,42,18,3.8784
linucb,42,19,3.8784
linucb,42,20,3.8784
linucb,42,21,3.8784
linucb,42,22,3.8784
linucb,42,23,4.0095
linucb,42,24,4.0095
linucb,42,25,4.0095
linucb,42,26,4.0095
linucb,42,27,4.3755
linucb,42,28,4.3755
linucb,42,29,4.3755
linucb,42,30,5.022
linucb,42,31,5.5417
linucb,42,32,5.6381
linucb,42,33,5.8174
linucb,42,34,5.8467
linucb,42,35,5.8467
linucb,42,36,5.8467
linucb,42,37,6.4448
linucb,42,38,6.6338
linucb,42,39,6.638
linucb,42,40,6.638
linucb,42,41,6.638
linucb,42,42,6.7607
linucb,42,43,6.7607
linucb,42,44,7.0168
linucb,42,45,7.0168
linucb,42,46,7.3359
linucb,42,47,7.3359
linucb,42,48,7.3359
linucb,42,49,7.8092
linucb,42,50,7.8092
linucb,42,51,7.8092
linucb,42,52,7.8092
linucb,42,53,7.8092
linucb,42,54,7.9906
linucb,42,55,7.9906
linucb,42,56,7.9906
linucb,42,57,8.4001
linucb,42,58,8.865
linucb,42,59,8.865
linucb,42,60,8.9636
linucb,42,61,8.9636
linucb,42,62,8.9636
linucb,42,63,8.9636
linucb,42,64,8.9636
linucb,42,65,9.0948
linucb,42,66,9.2438
linucb,42,67,9.2438
linucb,42,68,9.2438
linucb,42,69,9.2438
linucb,42,70,9.6766
linucb,42,71,9.6766
linucb,42,72,9.9961
linucb,42,73,9.9961
linucb,42,74,9.9961
linucb,42,75,10.4526
linucb,42,76,10.4526
linucb,42,77,10.4526
linucb,42,78,11.2972
linucb,42,79,11.2972
linucb,42,80,11.2972
linucb,42,81,11.2972
linucb,42,82,11.2972
linucb,42,83,11.2972
linucb,42,84,11.2972
linucb,42,85,11.2972
linucb,42,86,11.2972
linucb,42,87,11.2972
linucb,42,88,11.2972
linucb,42,89,11.2972
linucb,42,90,11.7528
linucb,42,91,12.1363
linucb,42,92,12.1363
linucb,42,93,12.1893
linucb,42,94,12.1893
linucb,42,95,12.5008
linucb,42,96,12.5008
linucb,42,97,12.9491
linucb,42,98,13.433
linucb,42,99,13.433
linucb,42,100,13.433
linucb,42,101,13.433
linucb,42,102,13.433
linucb,42,103,13.433
linucb,42,104,13.433
linucb,42,105,13.433
linucb,42,106,13.8951
linucb,42,107,14.1491
linucb,42,108,14.1491
linucb,42,109,14.1491
linucb,42,110,14.1491
linucb,42,111,14.5484
linucb,42,112,14.5484
linucb,42,113,14.5484
linucb,42,114,14.5484
linucb,42,115,14.8852
linucb,42,116,14.8852
linucb,42,117,14.8852
linucb,42,118,14.8852
linucb,42,119,14.8852
linucb,42,120,14.8852
linucb,42,121,14.8852
linucb,42,122,14.8852
linucb,42,123,14.8852
linucb,42,124,15.4418
linucb,42,125,15.4418
linucb,42,126,15.4634
linucb,42,127,15.4634
linucb,42,128,15.4634
linucb,42,129,16.6197
linucb,42,130,17.0211
